Year,Inflation Rate
2000.0,1.8
2001.0,1.77
2002.0,2.76
2003.0,2.12
2004.0,6.71
2005.0,9.58
2006.0,8.3
2007.0,16.71
2008.0,20.81
2009.0,1.46
2010.0,5.72
2011.0,7.88
2012.0,1.07
2013.0,2.41
2014.0,1.37
2015.0,4.04
2016.0,12.45
2017.0,12.94
2018.0,2.26
2019.0,2.6
2020.0,2.76
2021.0,6.66
2022.0,13.86
