adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/npCPnwDyWfQltGfIZKN6WqeUXGI.jpg,"[14, 12, 28]",57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",87.855,/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,2013-12-11,The Hobbit: The Desolation of Smaug,False,7.6,13197
False,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,"[14, 16, 12]",4935,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",78.159,/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,2004-09-09,Howl's Moving Castle,False,8.402,9986
False,/mDW6z7I6de6JbUgPOkAEZwKbg7G.jpg,"[16, 10751, 10402, 14, 35]",901362,en,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",77.195,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,2023-10-12,Trolls Band Together,False,7.315,860
False,/61yrVrkOH75fUtExDZ4Hi0KqOmc.jpg,"[27, 53]",1225377,en,The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",86.957,/3ovFaFeojLFIl5ClqhtgYMDS8sE.jpg,2024-08-23,The Mouse Trap,False,4.4,48
False,/yMmhALrLWj9amm2pAelmdXggxk2.jpg,"[16, 10751, 12, 35]",49013,en,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,89.12,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,2011-06-11,Cars 2,False,6.134,7799
False,/5n417Ff5GXOGCOKj3ZLMRAxEP0o.jpg,"[18, 9648]",249397,en,Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,79.617,/s7Qi3M6z8hqUw91Vqz7Ho4U7gzL.jpg,2013-12-25,Nymphomaniac: Vol. II,False,6.7,2920
False,/34HymsihCLtlIo5Z6TcteXJZAye.jpg,"[28, 80, 53]",604685,en,Den of Thieves 2: Pantera,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",87.308,/zLHq7fQA3xpck5UIHcRYgip5pQD.jpg,2025-01-08,Den of Thieves 2: Pantera,False,0.0,0
False,/2AI3pSt5sbAEav6isVDIeCuiZql.jpg,[18],46853,it,Maladolescenza,"Laura and Fabrizio have been meeting every summer in the forest by her parent's summer home. Fabrizio is a solitary boy with only his dog for company; Laura a sweet but unconfident child. This summer new aspects enter into their story as both are growing up. Laura is falling in love with Fabrizio, while he displays a new sexual awareness of her masked by his malice. Things develop further when they meet Sylvia who, unlike the innocent Laura, is confident and assertive. Fabrizio develops a fascination with her, eventually bribing Laura to fetch her to the forest to join them in play.",90.146,/nu5uj47KSF73VPEiIRYdPLJ96j7.jpg,1977-05-17,Playing with Love,False,5.2,77
False,/tPfXJcXxQ3MHyvhzNsDgsXoyPEM.jpg,"[27, 9648]",1249532,en,Rippy,"Young police officer Maddy is determined to live up to her deceased father's legacy. Her courage is put to the test when locals are found brutally ripped to shreds by the zombie kangaroo. As the undead beast leaves a trail of carnage, Maddy, with the help of her eccentric Uncle Schmitty and resilient Aunt Donna, must embark on a high-stakes battle to save the town.",83.718,/cZ5U4Ae74g29E02JR5oR98RQhiR.jpg,2024-10-25,Rippy,False,4.4,29
False,/30COvn7g7PP58wBkrnnh7Ws9bJS.jpg,"[10749, 35]",828613,en,About Fate,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",64.066,/fabZkaVHYJ67KbZx7oFoitauX34.jpg,2022-09-08,About Fate,False,7.428,418
False,/AjTodtZJlQxycfRPktnUTpknblv.jpg,"[16, 12, 35, 10751]",1207830,en,Gracie & Pedro: Pets to the Rescue,"Family frenemies, Gracie and Pedro, must put their differences aside, embarking on a thrilling quest packed with perilous escapades in order to reunite with their owners.",87.749,/wuB4CVY3OgH4yVwj1CrS9hUYEje.jpg,2024-05-01,Gracie & Pedro: Pets to the Rescue,False,6.8,46
False,/nv6F6tz7r61DUhE7zgHwLJFcTYp.jpg,"[35, 10749, 80]",974635,en,Hit Man,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,79.108,/oil3EZwKFp3CWxZnfGfGglesvm9.jpg,2024-05-16,Hit Man,False,6.9,1067
False,/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg,"[28, 12, 14]",791373,en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",85.284,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,Zack Snyder's Justice League,False,8.1,10043
False,/y51M7Ca95sCXTCDvJaRP1uzxKbg.jpg,"[12, 36, 10752]",652,en,Troy,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",79.768,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,2004-05-13,Troy,False,7.163,10194
